order_id,customer_id,product_id,quantity,amount,currency,amount_usd,order_date,price_tier,net_revenue,is_returned
O00398,C0077,P0050,1,80.1,USD,80.1,2026-05-29,medium,80.1,False
O00826,C0001,P0043,3,1050.66,INR,12.607920000000002,2026-04-16,low,12.607920000000002,False
O00268,C0110,P0017,2,329.08,INR,3.94896,2026-06-14,low,3.94896,False
O00437,C0030,P0015,1,309.88,INR,3.71856,2026-03-10,low,3.71856,False
O00115,C0088,P0045,3,712.05,INR,8.544599999999999,2026-05-20,low,0.0,True
O00574,C0030,P0049,3,125.01,GBP,158.7627,2026-04-08,medium,158.7627,False
O00334,C0101,P0048,4,1647.8,USD,1647.8,2026-02-13,high,1647.8,False
O00278,C0074,P0032,1,215.62,INR,2.58744,2026-03-12,low,0.0,True
O00454,C0018,P0056,3,920.31,USD,920.31,2026-05-21,high,920.31,False
O00892,C0022,P0027,4,1298.88,GBP,1649.5776,2026-04-20,high,1649.5776,False
O00852,C0105,P0039,2,980.7,INR,11.768400000000002,2026-01-06,low,11.768400000000002,False
O00094,C0009,P0046,4,385.04,INR,4.620480000000001,2026-02-03,low,4.620480000000001,False
O00808,C0036,P0040,4,470.4,INR,5.6448,2026-05-22,low,0.0,True
O00184,C0019,P0027,5,1623.6,GBP,2061.9719999999998,2026-01-30,high,2061.9719999999998,False
O00154,C0068,P0013,5,1775.6,GBP,2255.0119999999997,2026-02-15,high,2255.0119999999997,False
O00896,C0100,P0025,2,94.76,EUR,102.34080000000002,2026-02-18,medium,102.34080000000002,False
O00736,C0017,P0031,1,239.26,INR,2.87112,2026-04-16,low,2.87112,False
O00414,C0066,P0060,5,412.4,INR,4.948799999999999,2026-06-26,medium,4.948799999999999,False
O00628,C0004,P0044,1,55.78,GBP,70.84060000000001,2026-08-05,medium,0.0,True
O00262,C0112,P0004,5,1450.1,INR,17.4012,2026-04-15,low,17.4012,False
O00568,C0030,P0014,2,736.46,EUR,795.3768000000001,2026-02-02,high,795.3768000000001,False
O00439,C0096,P0013,2,710.24,GBP,902.0048,2026-01-04,high,0.0,True
O00708,C0093,P0012,2,114.48,GBP,145.3896,2026-07-03,medium,145.3896,False
O00848,C0106,P0047,3,1412.49,INR,16.94988,2026-01-15,low,16.94988,False
O00536,C0090,P0035,5,1810.2,USD,1810.2,2026-09-01,high,1810.2,False
O00354,C0014,P0042,5,703.9,EUR,760.212,2026-06-26,high,0.0,True
O00674,C0016,P0005,1,471.03,GBP,598.2081,2026-02-16,high,598.2081,False
O00293,C0062,P0044,4,223.12,GBP,283.36240000000004,2026-01-27,medium,0.0,True
O00409,C0081,P0036,5,1863.65,USD,1863.65,2026-05-15,high,1863.65,False
O00373,C0024,P0014,4,1472.92,EUR,1590.7536000000002,2026-01-05,high,0.0,True
O00589,C0015,P0002,5,1950.05,USD,1950.05,2026-01-22,high,1950.05,False
O00577,C0063,P0026,4,987.4,GBP,1253.998,2026-04-05,high,1253.998,False
O00879,C0104,P0010,2,78.26,INR,0.9391200000000001,2026-01-24,low,0.9391200000000001,False
O00806,C0018,P0045,3,712.05,INR,8.544599999999999,2026-03-17,low,8.544599999999999,False
O00883,C0098,P0042,2,281.56,EUR,304.08480000000003,2026-04-28,high,304.08480000000003,False
O00311,C0008,P0049,2,83.34,GBP,105.8418,2026-04-08,medium,105.8418,False
O00224,C0026,P0050,5,400.5,USD,400.5,2026-04-26,medium,400.5,False
O00771,C0100,P0053,2,777.94,EUR,840.1752000000001,2026-01-23,high,0.0,True
O00379,C0060,P0010,2,78.26,INR,0.9391200000000001,2026-01-21,low,0.9391200000000001,False
O00020,C0073,P0012,2,114.48,GBP,145.3896,2026-07-02,medium,145.3896,False
O00846,C0035,P0004,2,580.04,INR,6.96048,2026-02-07,low,6.96048,False
O00186,C0105,P0036,5,1863.65,USD,1863.65,2026-01-03,high,1863.65,False
O00822,C0049,P0008,3,1197.39,USD,1197.39,2026-01-04,high,1197.39,False
O00018,C0031,P0059,3,371.19,EUR,400.8852,2026-05-19,high,400.8852,False
O00796,C0014,P0055,2,312.32,GBP,396.64639999999997,2026-04-03,high,396.64639999999997,False
O00131,C0110,P0008,2,798.26,USD,798.26,2026-05-18,high,798.26,False
O00585,C0092,P0049,1,41.67,GBP,52.9209,2026-06-05,medium,0.0,True
O00396,C0067,P0031,3,717.78,INR,8.61336,2026-01-11,low,8.61336,False
O00858,C0063,P0008,2,798.26,USD,798.26,2026-06-25,high,798.26,False
O00829,C0063,P0052,2,562.5,USD,562.5,2026-06-20,high,562.5,False
O00703,C0081,P0008,1,399.13,USD,399.13,2026-06-03,high,399.13,False
O00169,C0089,P0021,2,190.02,INR,2.28024,2026-02-04,low,2.28024,False
O00316,C0095,P0025,1,47.38,EUR,51.17040000000001,2026-06-24,medium,51.17040000000001,False
O00189,C0028,P0007,2,110.88,EUR,119.7504,2026-01-11,medium,119.7504,False
O00670,C0057,P0032,4,862.48,INR,10.34976,2026-05-30,low,0.0,True
O00087,C0052,P0052,2,562.5,USD,562.5,2026-01-15,high,0.0,True
O00616,C0092,P0056,3,920.31,USD,920.31,2026-06-22,high,920.31,False
O00364,C0105,P0017,4,658.16,INR,7.89792,2026-01-30,low,7.89792,False
O00289,C0038,P0004,1,290.02,INR,3.48024,2026-07-03,low,3.48024,False
O00666,C0059,P0016,5,1175.55,GBP,1492.9485,2026-03-18,high,1492.9485,False
O00206,C0031,P0039,1,490.35,INR,5.884200000000001,2026-03-03,low,5.884200000000001,False
O00200,C0067,P0001,1,384.61,INR,4.6153200000000005,2026-01-20,low,4.6153200000000005,False
O00089,C0074,P0024,4,1120.48,INR,13.44576,2026-04-06,low,13.44576,False
O00062,C0058,P0058,3,408.0,EUR,440.64000000000004,2026-05-02,high,440.64000000000004,False
O00680,C0078,P0038,1,141.87,GBP,180.1749,2026-04-24,high,180.1749,False
O00626,C0111,P0023,1,440.76,INR,5.28912,2026-05-07,low,5.28912,False
O00636,C0017,P0020,2,343.04,GBP,435.66080000000005,2026-01-21,high,0.0,True
O00043,C0048,P0044,4,223.12,GBP,283.36240000000004,2026-04-20,medium,283.36240000000004,False
O00084,C0044,P0032,4,862.48,INR,10.34976,2026-04-13,low,10.34976,False
O00297,C0112,P0049,4,166.68,GBP,211.6836,2026-10-05,medium,211.6836,False
O00177,C0015,P0047,2,941.66,INR,11.29992,2026-03-17,low,0.0,True
O00429,C0024,P0030,5,782.85,EUR,845.4780000000001,2026-05-05,high,845.4780000000001,False
O00814,C0022,P0049,4,166.68,GBP,211.6836,2026-03-11,medium,211.6836,False
O00713,C0030,P0014,2,736.46,EUR,795.3768000000001,2026-01-01,high,795.3768000000001,False
O00656,C0057,P0050,1,80.1,USD,80.1,2026-02-05,medium,80.1,False
O00436,C0120,P0010,2,78.26,INR,0.9391200000000001,2026-04-24,low,0.9391200000000001,False
O00229,C0057,P0006,3,894.27,USD,894.27,2026-01-17,high,0.0,True
O00783,C0085,P0016,2,470.22,GBP,597.1794,2026-02-13,high,0.0,True
O00377,C0120,P0023,1,440.76,INR,5.28912,2026-04-03,low,5.28912,False
O00101,C0078,P0056,3,920.31,USD,920.31,2026-04-05,high,920.31,False
O00314,C0002,P0013,5,1775.6,GBP,2255.0119999999997,2026-06-25,high,2255.0119999999997,False
O00241,C0017,P0001,5,1923.05,INR,23.0766,2026-03-20,low,23.0766,False
O00745,C0108,P0054,1,454.71,GBP,577.4816999999999,2026-04-23,high,577.4816999999999,False
O00351,C0054,P0003,5,292.55,INR,3.5106,2026-06-23,low,3.5106,False
O00265,C0045,P0058,3,408.0,EUR,440.64000000000004,2026-02-05,high,0.0,True
O00173,C0065,P0056,4,1227.08,USD,1227.08,2026-05-03,high,0.0,True
O00168,C0049,P0022,4,1599.72,INR,19.196640000000002,2026-04-12,low,19.196640000000002,False
O00368,C0095,P0017,2,329.08,INR,3.94896,2026-05-08,low,3.94896,False
O00416,C0090,P0059,1,123.73,EUR,133.6284,2026-05-04,high,133.6284,False
O00486,C0011,P0052,4,1125.0,USD,1125.0,2026-05-05,high,1125.0,False
O00225,C0058,P0017,1,164.54,INR,1.97448,2026-01-31,low,1.97448,False
O00167,C0047,P0016,4,940.44,GBP,1194.3588,2026-04-18,high,1194.3588,False
O00623,C0037,P0017,5,822.7,INR,9.8724,2026-03-13,low,9.8724,False
O00559,C0086,P0027,2,649.44,GBP,824.7888,2026-06-12,high,824.7888,False
O00497,C0007,P0026,4,987.4,GBP,1253.998,2026-01-14,high,1253.998,False
O00120,C0013,P0009,1,176.87,USD,176.87,2026-04-16,high,176.87,False
O00092,C0071,P0058,3,408.0,EUR,440.64000000000004,2026-06-20,high,440.64000000000004,False
O00418,C0049,P0034,1,156.78,INR,1.8813600000000001,2026-06-04,low,1.8813600000000001,False
O00818,C0010,P0006,2,596.18,USD,596.18,2026-03-22,high,596.18,False
O00546,C0022,P0011,5,56.3,INR,0.6756,2026-07-02,low,0.6756,False
O00593,C0013,P0018,1,143.07,USD,143.07,2026-01-24,high,143.07,False
O00519,C0102,P0040,4,470.4,GBP,597.408,2026-05-29,low,597.408,False
O00025,C0088,P0041,1,12.0,INR,0.14400000000000002,2026-06-23,low,0.14400000000000002,False
O00286,C0016,P0051,1,47.16,INR,0.56592,2026-01-27,low,0.0,True
O00415,C0104,P0037,4,399.24,EUR,431.17920000000004,2026-05-30,high,431.17920000000004,False
O00889,C0082,P0037,1,99.81,EUR,107.79480000000001,2026-05-20,high,107.79480000000001,False
O00119,C0095,P0016,1,235.11,GBP,298.5897,2026-03-11,high,298.5897,False
O00492,C0096,P0051,5,235.8,INR,2.8296,2026-01-10,low,2.8296,False
O00795,C0057,P0019,2,752.98,EUR,813.2184000000001,2026-06-17,high,813.2184000000001,False
O00563,C0077,P0035,3,1086.12,USD,1086.12,2026-02-19,high,1086.12,False
O00727,C0018,P0049,5,208.35,INR,2.5002,2026-03-12,medium,2.5002,False
O00274,C0084,P0023,2,881.52,INR,10.57824,2026-05-24,low,10.57824,False
O00539,C0098,P0023,3,1322.28,INR,15.86736,2026-05-29,low,15.86736,False
O00764,C0049,P0031,1,239.26,INR,2.87112,2026-04-29,low,2.87112,False
O00667,C0037,P0053,5,1944.85,EUR,2100.438,2026-02-06,high,2100.438,False
O00711,C0101,P0013,4,1420.48,GBP,1804.0096,2026-02-21,high,1804.0096,False
O00317,C0091,P0003,2,117.02,INR,1.40424,2026-07-03,low,1.40424,False
O00778,C0104,P0030,4,626.28,EUR,676.3824,2026-01-15,high,676.3824,False
O00287,C0038,P0036,4,1490.92,USD,1490.92,2026-02-21,high,1490.92,False
O00083,C0025,P0056,1,306.77,USD,306.77,2026-05-02,high,306.77,False
O00215,C0095,P0003,1,58.51,INR,0.70212,2026-06-22,low,0.70212,False
O00112,C0019,P0016,1,235.11,GBP,298.5897,2026-11-06,high,0.0,True
O00145,C0027,P0022,3,1199.79,EUR,1295.7732,2026-06-21,low,1295.7732,False
O00597,C0096,P0020,4,686.08,GBP,871.3216000000001,2026-04-29,high,871.3216000000001,False
O00514,C0112,P0010,5,195.65,INR,2.3478000000000003,2026-06-20,low,2.3478000000000003,False
O00153,C0093,P0019,1,376.49,EUR,406.60920000000004,2026-04-16,high,406.60920000000004,False
O00805,C0022,P0043,1,350.22,INR,4.202640000000001,2026-05-10,low,0.0,True
O00480,C0085,P0014,2,736.46,EUR,795.3768000000001,2026-04-08,high,795.3768000000001,False
O00571,C0045,P0055,5,780.8,GBP,991.616,2026-02-07,high,991.616,False
O00103,C0105,P0037,3,299.43,EUR,323.3844,2026-06-07,high,323.3844,False
O00099,C0034,P0050,5,400.5,USD,400.5,2026-01-21,medium,0.0,True
O00174,C0014,P0043,3,1050.66,INR,12.607920000000002,2026-05-18,low,12.607920000000002,False
O00064,C0043,P0044,4,223.12,GBP,283.36240000000004,2026-06-11,medium,283.36240000000004,False
O00227,C0072,P0016,1,235.11,GBP,298.5897,2026-02-14,high,298.5897,False
O00843,C0112,P0005,2,942.06,GBP,1196.4162,2026-04-12,high,1196.4162,False
O00618,C0048,P0042,4,563.12,EUR,608.1696000000001,2026-06-08,high,608.1696000000001,False
O00665,C0108,P0041,5,60.0,INR,0.72,2026-05-10,low,0.72,False
O00839,C0117,P0053,2,777.94,EUR,840.1752000000001,2026-06-04,high,840.1752000000001,False
O00021,C0060,P0030,3,469.71,EUR,507.2868,2026-05-08,high,507.2868,False
O00150,C0063,P0047,3,1412.49,INR,16.94988,2026-05-06,low,16.94988,False
O00803,C0016,P0014,1,368.23,EUR,397.68840000000006,2026-05-18,high,397.68840000000006,False
O00188,C0071,P0037,1,99.81,EUR,107.79480000000001,2026-04-28,high,107.79480000000001,False
O00070,C0087,P0029,5,573.45,INR,6.881400000000001,2026-04-23,low,0.0,True
O00579,C0093,P0049,5,208.35,GBP,264.6045,2026-04-14,medium,0.0,True
O00767,C0091,P0045,3,712.05,INR,8.544599999999999,2026-03-07,low,8.544599999999999,False
O00686,C0022,P0035,4,1448.16,USD,1448.16,2026-02-22,high,1448.16,False
O00144,C0007,P0044,5,278.9,GBP,354.203,2026-05-18,medium,354.203,False
O00313,C0066,P0052,3,843.75,USD,843.75,2026-06-15,high,843.75,False
O00129,C0071,P0049,5,208.35,GBP,264.6045,2026-06-05,medium,264.6045,False
O00455,C0081,P0006,4,1192.36,USD,1192.36,2026-01-15,high,1192.36,False
O00276,C0039,P0056,2,613.54,USD,613.54,2026-01-31,high,613.54,False
O00358,C0056,P0017,2,329.08,INR,3.94896,2026-02-07,low,3.94896,False
O00065,C0085,P0023,3,1322.28,INR,15.86736,2026-02-08,low,15.86736,False
O00013,C0058,P0023,3,1322.28,INR,15.86736,2026-06-18,low,15.86736,False
O00523,C0036,P0008,2,798.26,USD,798.26,2026-04-29,high,798.26,False
O00366,C0067,P0045,3,712.05,INR,8.544599999999999,2026-02-28,low,8.544599999999999,False
O00014,C0050,P0050,4,320.4,USD,320.4,2026-02-18,medium,320.4,False
O00032,C0096,P0035,4,1448.16,USD,1448.16,2026-04-10,high,1448.16,False
O00880,C0044,P0040,4,470.4,INR,5.6448,2026-05-14,low,5.6448,False
O00212,C0064,P0034,5,783.9,INR,9.4068,2026-02-05,low,9.4068,False
O00786,C0096,P0025,5,236.9,EUR,255.85200000000003,2026-06-14,medium,255.85200000000003,False
O00712,C0039,P0011,1,11.26,INR,0.13512,2026-05-29,low,0.13512,False
O00460,C0119,P0059,4,494.92,EUR,534.5136,2026-02-14,high,0.0,True
O00323,C0009,P0041,2,24.0,INR,0.28800000000000003,2026-05-18,low,0.28800000000000003,False
O00004,C0006,P0048,3,1235.85,EUR,1334.718,2026-05-07,high,1334.718,False
O00698,C0083,P0042,1,140.78,EUR,152.04240000000001,2026-05-24,high,152.04240000000001,False
O00118,C0119,P0017,4,658.16,INR,7.89792,2026-03-15,low,7.89792,False
O00817,C0036,P0034,2,313.56,INR,3.7627200000000003,2026-01-04,low,3.7627200000000003,False
O00835,C0062,P0028,1,397.5,GBP,504.825,2026-01-03,high,504.825,False
O00433,C0017,P0009,5,884.35,USD,884.35,2026-06-04,high,884.35,False
O00042,C0056,P0015,4,1239.52,INR,14.87424,2026-05-22,low,14.87424,False
O00705,C0052,P0049,4,166.68,GBP,211.6836,2026-05-24,medium,0.0,True
O00569,C0006,P0003,5,292.55,INR,3.5106,2026-05-01,low,3.5106,False
O00489,C0094,P0055,3,468.48,GBP,594.9696,2026-05-04,high,594.9696,False
O00756,C0038,P0025,2,94.76,EUR,102.34080000000002,2026-01-16,medium,102.34080000000002,False
O00300,C0072,P0043,4,1400.88,INR,16.810560000000002,2026-06-13,low,16.810560000000002,False
O00039,C0067,P0042,1,140.78,EUR,152.04240000000001,2026-06-07,high,152.04240000000001,False
O00687,C0001,P0059,4,494.92,EUR,534.5136,2026-06-08,high,534.5136,False
O00634,C0097,P0024,5,1400.6,INR,16.807199999999998,2026-05-25,low,16.807199999999998,False
O00631,C0078,P0026,3,740.55,GBP,940.4984999999999,2026-01-15,high,940.4984999999999,False
O00256,C0012,P0026,5,1234.25,GBP,1567.4975,2026-03-23,high,1567.4975,False
O00639,C0104,P0059,2,247.46,EUR,267.2568,2026-04-27,high,0.0,True
O00740,C0116,P0028,4,1590.0,GBP,2019.3,2026-02-14,high,2019.3,False
O00758,C0043,P0014,5,1841.15,EUR,1988.4420000000002,2026-01-07,high,1988.4420000000002,False
O00372,C0049,P0021,3,285.03,INR,3.4203599999999996,2026-01-03,low,3.4203599999999996,False
O00487,C0055,P0029,4,458.76,INR,5.50512,2026-06-09,low,5.50512,False
O00034,C0046,P0018,2,286.14,USD,286.14,2026-04-05,high,286.14,False
O00063,C0079,P0024,3,840.36,INR,10.08432,2026-04-23,low,10.08432,False
O00600,C0083,P0047,4,1883.32,INR,22.59984,2026-03-13,low,22.59984,False
O00159,C0119,P0011,5,56.3,INR,0.6756,2026-06-02,low,0.6756,False
O00627,C0075,P0001,5,1923.05,INR,23.0766,2026-03-11,low,23.0766,False
O00214,C0047,P0055,5,780.8,GBP,991.616,2026-01-20,high,991.616,False
O00566,C0054,P0005,1,471.03,GBP,598.2081,2026-05-22,high,598.2081,False
O00689,C0113,P0040,5,588.0,INR,7.056,2026-05-02,low,7.056,False
O00179,C0120,P0016,5,1175.55,GBP,1492.9485,2026-06-15,high,1492.9485,False
O00340,C0098,P0005,3,1413.09,GBP,1794.6243,2026-05-04,high,1794.6243,False
O00090,C0117,P0017,3,493.62,INR,5.92344,2026-02-17,low,5.92344,False
O00270,C0034,P0058,3,408.0,EUR,440.64000000000004,2026-12-03,high,0.0,True
O00231,C0079,P0019,4,1505.96,EUR,1626.4368000000002,2026-02-08,high,1626.4368000000002,False
O00141,C0007,P0042,4,563.12,EUR,608.1696000000001,2026-06-23,high,608.1696000000001,False
O00405,C0026,P0013,1,355.12,GBP,451.0024,2026-02-03,high,451.0024,False
O00194,C0054,P0005,1,471.03,GBP,598.2081,2026-05-28,high,598.2081,False
O00046,C0098,P0015,4,1239.52,INR,14.87424,2026-03-31,low,14.87424,False
O00419,C0051,P0049,5,208.35,GBP,264.6045,2026-02-09,medium,264.6045,False
O00655,C0091,P0033,4,716.6,INR,8.5992,2026-03-04,low,8.5992,False
O00529,C0098,P0057,3,1422.18,USD,1422.18,2026-04-30,high,1422.18,False
O00887,C0069,P0030,1,156.57,EUR,169.0956,2026-03-31,high,169.0956,False
O00255,C0055,P0044,4,223.12,GBP,283.36240000000004,2026-02-24,medium,283.36240000000004,False
O00750,C0080,P0035,4,1448.16,USD,1448.16,2026-03-24,high,1448.16,False
O00348,C0034,P0044,3,167.34,GBP,212.5218,2026-02-16,medium,212.5218,False
O00380,C0044,P0021,3,285.03,INR,3.4203599999999996,2026-04-14,low,3.4203599999999996,False
O00659,C0009,P0021,4,380.04,INR,4.56048,2026-01-03,low,4.56048,False
O00662,C0080,P0042,4,563.12,EUR,608.1696000000001,2026-06-14,high,608.1696000000001,False
O00139,C0030,P0047,5,2354.15,INR,28.2498,2026-01-15,low,28.2498,False
O00058,C0064,P0037,5,499.05,EUR,538.974,2026-01-20,high,538.974,False
O00871,C0071,P0017,5,822.7,INR,9.8724,2026-04-19,low,9.8724,False
O00407,C0072,P0057,4,1896.24,USD,1896.24,2026-04-30,high,1896.24,False
O00350,C0065,P0006,4,1192.36,USD,1192.36,2026-06-03,high,1192.36,False
O00155,C0032,P0015,3,929.64,INR,11.15568,2026-04-06,low,11.15568,False
O00604,C0111,P0032,5,1078.1,INR,12.937199999999999,2026-12-03,low,12.937199999999999,False
O00347,C0058,P0031,4,957.04,INR,11.48448,2026-06-19,low,11.48448,False
O00235,C0046,P0055,2,312.32,GBP,396.64639999999997,2026-01-15,high,0.0,True
O00637,C0055,P0030,5,782.85,EUR,845.4780000000001,2026-01-12,high,845.4780000000001,False
O00534,C0040,P0030,5,782.85,GBP,994.2195,2026-01-24,high,994.2195,False
O00526,C0115,P0050,1,80.1,USD,80.1,2026-04-18,medium,80.1,False
O00280,C0029,P0023,3,1322.28,INR,15.86736,2026-01-02,low,15.86736,False
O00884,C0118,P0029,3,344.07,INR,4.12884,2026-03-15,low,0.0,True
O00343,C0105,P0032,4,862.48,EUR,931.4784000000001,2026-02-27,low,931.4784000000001,False
O00156,C0049,P0004,1,290.02,INR,3.48024,2026-09-01,low,3.48024,False
O00685,C0098,P0051,2,94.32,INR,1.13184,2026-05-31,low,1.13184,False
O00463,C0074,P0012,5,286.2,GBP,363.474,2026-04-07,medium,363.474,False
O00488,C0053,P0037,3,299.43,GBP,380.27610000000004,2026-02-03,high,380.27610000000004,False
O00777,C0048,P0022,3,1199.79,INR,14.39748,2026-03-28,low,0.0,True
O00117,C0087,P0058,4,544.0,EUR,587.52,2026-03-12,high,587.52,False
O00645,C0056,P0055,4,624.64,GBP,793.2927999999999,2026-01-03,high,793.2927999999999,False
O00630,C0042,P0047,5,2354.15,INR,28.2498,2026-12-01,low,28.2498,False
O00450,C0011,P0001,2,769.22,INR,9.230640000000001,2026-02-05,low,9.230640000000001,False
O00847,C0011,P0057,5,2370.3,USD,2370.3,2026-11-06,high,2370.3,False
O00478,C0070,P0012,1,57.24,GBP,72.6948,2026-04-22,medium,72.6948,False
O00242,C0029,P0007,4,221.76,EUR,239.5008,2026-06-04,medium,0.0,True
O00127,C0047,P0004,1,290.02,INR,3.48024,2026-05-27,low,3.48024,False
O00251,C0048,P0024,2,560.24,INR,6.72288,2026-06-14,low,6.72288,False
O00299,C0003,P0027,1,324.72,USD,324.72,2026-01-31,high,324.72,False
O00872,C0096,P0040,1,117.6,INR,1.4112,2026-01-24,low,1.4112,False
O00412,C0049,P0060,3,247.44,USD,247.44,2026-03-03,medium,247.44,False
O00596,C0069,P0055,4,624.64,GBP,793.2927999999999,2026-04-30,high,793.2927999999999,False
O00742,C0016,P0005,1,471.03,GBP,598.2081,2026-05-07,high,598.2081,False
O00040,C0010,P0021,5,475.05,INR,5.7006000000000006,2026-06-05,low,5.7006000000000006,False
O00882,C0041,P0019,2,752.98,EUR,813.2184000000001,2026-01-23,high,813.2184000000001,False
O00220,C0045,P0045,1,237.35,GBP,301.4345,2026-04-15,low,301.4345,False
O00691,C0078,P0058,1,136.0,EUR,146.88,2026-02-04,high,146.88,False
O00342,C0023,P0025,3,142.14,EUR,153.5112,2026-03-09,medium,153.5112,False
O00509,C0050,P0053,4,1555.88,EUR,1680.3504000000003,2026-01-18,high,1680.3504000000003,False
O00073,C0035,P0033,2,358.3,INR,4.2996,2026-02-01,low,4.2996,False
O00234,C0099,P0015,2,619.76,INR,7.43712,2026-01-15,low,7.43712,False
O00428,C0112,P0025,2,94.76,EUR,102.34080000000002,2026-03-04,medium,102.34080000000002,False
O00828,C0006,P0027,3,974.16,GBP,1237.1832,2026-02-20,high,1237.1832,False
O00467,C0111,P0001,3,1153.83,INR,13.84596,2026-01-10,low,13.84596,False
O00404,C0037,P0042,3,422.34,EUR,456.1272,2026-05-08,high,456.1272,False
O00162,C0088,P0025,1,47.38,EUR,51.17040000000001,2026-05-22,medium,51.17040000000001,False
O00723,C0033,P0009,1,176.87,USD,176.87,2026-07-04,high,176.87,False
O00603,C0095,P0048,2,823.9,USD,823.9,2026-03-22,high,823.9,False
O00820,C0117,P0001,4,1538.44,INR,18.461280000000002,2026-04-14,low,18.461280000000002,False
O00245,C0101,P0042,2,281.56,EUR,304.08480000000003,2026-05-20,high,304.08480000000003,False
O00319,C0052,P0015,2,619.76,INR,7.43712,2026-02-10,low,0.0,True
O00386,C0062,P0052,1,281.25,USD,281.25,2026-06-13,high,281.25,False
O00431,C0114,P0002,5,1950.05,USD,1950.05,2026-01-16,high,1950.05,False
O00562,C0047,P0059,3,371.19,EUR,400.8852,2026-02-04,high,400.8852,False
O00002,C0055,P0015,2,619.76,INR,7.43712,2026-06-10,low,7.43712,False
O00370,C0112,P0012,5,286.2,GBP,363.474,2026-03-22,medium,363.474,False
O00624,C0098,P0036,4,1490.92,USD,1490.92,2026-12-02,high,1490.92,False
O00844,C0001,P0014,5,1841.15,EUR,1988.4420000000002,2026-06-05,high,0.0,True
O00790,C0019,P0010,1,39.13,INR,0.46956000000000003,2026-02-26,low,0.46956000000000003,False
O00533,C0011,P0001,4,1538.44,INR,18.461280000000002,2026-01-26,low,18.461280000000002,False
