customer_id,name,email_present,city,country,is_premium,signup_date
C0040,Customer 40,True,Mumbai,Germany,True,2024-05-27
C0041,Customer 41,True,Berlin,USA,True,2024-11-11
C0042,Customer 42,True,New York,UK,False,2025-01-04
C0043,Customer 43,True,Chennai,USA,False,2025-11-07
C0044,Customer 44,True,Berlin,India,True,2025-09-12
C0045,Customer 45,True,New York,USA,False,2025-08-11
C0046,Customer 46,True,New York,Germany,True,2025-10-16
C0047,Customer 47,False,Chennai,USA,True,2024-06-27
C0048,Customer 48,True,New York,India,False,2024-08-22
C0049,Customer 49,True,New York,USA,False,2025-07-17
C0050,Customer 50,True,London,UK,False,2024-09-23
C0051,Customer 51,True,Berlin,USA,True,2025-03-04
C0052,Customer 52,True,Chennai,Germany,True,2025-11-04
C0053,Customer 53,False,Chennai,USA,True,2024-07-30
C0054,Customer 54,True,Berlin,UK,True,2024-02-10
C0055,Customer 55,True,Berlin,USA,True,2024-05-28
C0056,Customer 56,True,Mumbai,Germany,False,2024-05-14
C0057,Customer 57,True,London,India,False,2025-06-06
C0058,Customer 58,True,London,Germany,False,2024-02-14
C0059,Customer 59,True,Chennai,Germany,True,2025-10-19
C0060,Customer 60,False,Mumbai,India,True,2025-05-28
C0061,Customer 61,True,Berlin,UK,False,2025-10-23
C0062,Customer 62,True,London,Germany,True,2024-06-24
C0063,Customer 63,True,London,USA,True,2024-06-13
C0064,Customer 64,True,Mumbai,USA,False,2025-09-14
C0065,Customer 65,True,London,India,False,2025-05-31
C0066,Customer 66,True,Chennai,USA,False,2025-04-19
C0067,Customer 67,True,Chennai,UK,True,2025-11-17
C0068,Customer 68,True,Berlin,Germany,False,2025-04-08
C0069,Customer 69,True,Chennai,USA,True,2025-09-09
C0070,Customer 70,True,Mumbai,USA,False,2024-05-15
C0071,Customer 71,True,London,USA,False,2025-02-20
C0072,Customer 72,True,Chennai,UK,False,2025-04-21
C0073,Customer 73,True,Berlin,USA,True,2025-07-27
C0074,Customer 74,True,Berlin,UK,False,2025-12-07
C0075,Customer 75,True,London,USA,True,2025-04-22
C0076,Customer 76,True,New York,India,True,2025-11-23
C0077,Customer 77,True,London,India,True,2024-09-17
C0078,Customer 78,True,Berlin,UK,False,2024-02-26
C0079,Customer 79,True,London,UK,False,2025-10-22
C0080,Customer 80,True,London,USA,True,2024-07-01
C0081,Customer 81,True,Berlin,India,True,2025-04-09
C0082,Customer 82,True,London,UK,False,2024-10-14
C0083,Customer 83,True,Chennai,UK,True,2024-07-27
C0084,Customer 84,True,Chennai,Germany,True,2024-10-12
C0085,Customer 85,True,London,UK,True,2025-10-22
C0086,Customer 86,True,Mumbai,India,False,2025-02-28
C0087,Customer 87,True,Mumbai,USA,True,2025-03-05
C0088,Customer 88,True,Berlin,India,False,2024-12-09
C0089,Customer 89,True,London,India,True,2026-01-01
C0090,Customer 90,True,Mumbai,UK,False,2024-05-18
C0091,Customer 91,True,Berlin,Germany,False,2024-02-10
C0092,Customer 92,True,Chennai,India,False,2025-07-12
C0093,Customer 93,True,London,India,True,2025-05-06
C0094,Customer 94,True,Berlin,Germany,True,2025-11-15
C0095,Customer 95,True,Mumbai,India,False,2024-03-28
C0096,Customer 96,True,Berlin,USA,True,2025-04-27
C0097,Customer 97,True,Berlin,Germany,False,2025-05-22
C0098,Customer 98,False,Chennai,Germany,True,2025-04-21
C0099,Customer 99,True,Mumbai,Germany,False,2024-02-18
C0100,Customer 100,True,Mumbai,Germany,False,2024-10-05
C0101,Customer 101,True,New York,USA,False,2024-06-19
C0102,Customer 102,True,London,Germany,False,2025-04-23
C0103,Customer 103,True,New York,USA,False,2025-03-26
C0104,Customer 104,True,London,Germany,True,2025-01-23
C0105,Customer 105,True,New York,USA,True,2025-05-10
C0106,Customer 106,False,London,Germany,False,2024-11-10
C0107,Customer 107,True,New York,UK,True,2025-06-04
C0108,Customer 108,True,New York,Germany,True,2024-05-22
C0109,Customer 109,True,New York,UK,True,2025-03-02
C0110,Customer 110,True,New York,Germany,True,2025-03-28
C0111,Customer 111,True,New York,USA,False,2024-02-17
C0112,Customer 112,True,Mumbai,USA,False,2024-04-04
C0113,Customer 113,True,Chennai,USA,False,2024-02-23
C0114,Customer 114,True,Berlin,USA,False,2024-09-16
C0115,Customer 115,True,New York,UK,False,2025-05-30
C0116,Customer 116,True,London,UK,False,2024-12-09
C0117,Customer 117,True,Chennai,Germany,True,2024-09-07
C0118,Customer 118,True,Berlin,USA,True,2025-01-08
C0119,Customer 119,True,Berlin,USA,True,2025-04-23
C0120,Customer 120,True,Chennai,India,False,2024-09-04
