customer_id,total_orders,total_spend_usd,avg_order_value,return_rate,days_since_last_order,sessions_count,cart_abandon_rate
C0097,8,941.56496,117.69562,0.375,194,27,1.0
C0098,8,6168.68254,771.0853175,0.0,3,44,1.0
C0099,6,291.66928,48.61154666666667,0.0,30,37,1.0
C0100,7,3677.0515600000003,525.29308,0.14285714285714285,218,36,1.0
C0101,6,5678.5716,946.4286000000001,0.0,159,34,1.0
C0102,6,3737.34102,622.89017,0.0,173,25,1.0
C0103,5,553.08312,110.616624,0.0,167,36,1.0
C0104,5,1112.70336,222.540672,0.2,189,35,1.0
C0105,14,5603.20544,400.22896,0.07142857142857142,153,37,1.0
C0106,8,1846.3654000000001,230.79567500000002,0.125,180,38,1.0
C0107,11,5112.814560000001,464.8013236363637,0.0,94,41,1.0
C0108,5,4783.831700000001,956.7663400000001,0.0,209,33,1.0
C0109,1,17.4012,17.4012,0.0,124,40,1.0
C0110,6,2542.28,423.71333333333337,0.16666666666666666,1,29,1.0
C0111,7,1949.2036000000003,278.45765714285716,0.0,2,36,1.0
C0112,8,2139.54948,267.443685,0.0,61,28,1.0
C0113,7,2382.1522000000004,340.30745714285723,0.0,33,35,1.0
C0114,9,4202.77572,466.97507999999993,0.0,179,29,1.0
C0115,6,676.21968,112.70328,0.0,0,39,1.0
C0116,4,2325.81024,581.45256,0.0,126,26,1.0
C0117,8,3655.7895200000003,456.97369000000003,0.125,184,35,1.0
C0118,5,2124.87844,424.975688,0.2,180,39,1.0
C0119,9,3197.4402600000003,355.27114000000006,0.2222222222222222,161,37,1.0
C0120,7,2888.78826,412.6840371428571,0.14285714285714285,173,29,1.0
